id,titulo,anio,editorial_institucion,tipo_doc,pais,departamento,nombre_revista_compilacion,numero_revista,autor,ciudad,temas,url,obs,img,file_img
1,Cinco testimonios del Cerco. La Paz. 1781.,1973,Instituto de Estudios Bolivianos,articulo de investigación,Bolivia,La Paz,Historia y Cultura,1,del Valle M.,La Paz,"movimientos sociales,historia",https://drive.google.com/drive/folders/1fWVOk3P8VXFvpxIAIyIcZTNynRiEIBbA,,https://labtecnosocial.org/explora-bib/urbana/1.png,1.png
2,La doble fundación de Cochabamba,1977,Instituto de Estudios Bolivianos,articulo de investigación,Bolivia,La Paz,Historia y Cultura,3,de Morales A.,Cochabamba,"movimientos sociales,historia",https://drive.google.com/drive/folders/1fWVOk3P8VXFvpxIAIyIcZTNynRiEIBbA,,https://labtecnosocial.org/explora-bib/urbana/2.png,2.png
3,"Segregación residencial y política urbana en La Paz, Bolivia",1982,Centrum voor Studie en Documentatie van Latjins Amerika,articulo de investigación,Bolivia,,Boletín de estudios Latinoamericanos y del Caribe,33,"van Lindert P.,Verkoren O.",La Paz,segregación socioespacial,https://www.jstor.org/stable/25675156,,https://labtecnosocial.org/explora-bib/urbana/3.png,3.png
4,La minería de Potosí en la segunda mitad del siglo XVIII,1984,Instituto de Estudios Bolivianos,articulo de investigación,Bolivia,La Paz,Historia y Cultura,5,Arduz G.,Potosí,"economía,organización social,historia",https://drive.google.com/drive/folders/1fWVOk3P8VXFvpxIAIyIcZTNynRiEIBbA,,https://labtecnosocial.org/explora-bib/urbana/4.png,4.png
5,Espacio y Sociedad Regional,1984,CERES,libro,Bolivia,Cochabamba,,,Laserna R.,Cochabamba,organización socioespacial,https://ceresbolivia.org/descarga-el-libro-espacio-y-sociedad-regional/,,https://labtecnosocial.org/explora-bib/urbana/5.png,5.png
6,La revolución de mayo en Tarija,1985,Sociedad Boliviana de Historia,articulo de investigación,Bolivia,La Paz,Historia y Cultura,7,de Echazu M.,Tarija,"movimientos sociales,historia",https://drive.google.com/drive/folders/1fWVOk3P8VXFvpxIAIyIcZTNynRiEIBbA,,https://labtecnosocial.org/explora-bib/urbana/6.png,6.png
7,Los hospitales del Potosí virreinal,1986,Sociedad Boliviana de Historia,articulo de investigación,Bolivia,La Paz,Historia y Cultura,10,Chacon M.,Potosí,salud,https://drive.google.com/drive/folders/1fWVOk3P8VXFvpxIAIyIcZTNynRiEIBbA,,https://labtecnosocial.org/explora-bib/urbana/7.png,7.png
8,Cochabambinos y porteños 1810-1813,1986,Sociedad Boliviana de Historia,articulo de investigación,Bolivia,La Paz,Historia y Cultura,11,Roca J.,Cochabamba,migración,https://drive.google.com/drive/folders/1fWVOk3P8VXFvpxIAIyIcZTNynRiEIBbA,,https://labtecnosocial.org/explora-bib/urbana/8.png,8.png
9,Proyecto de investigación dirigida: población y territorio en Bolivia. Taller urbano - industrial,1986,IDIS - UMSA,informe,Bolivia,La Paz,Temas Sociales,9,"Pereira Morato R.,Zambrana D.",La Paz,migración,https://repositorio.umsa.bo/handle/123456789/16220,,https://labtecnosocial.org/explora-bib/urbana/9.png,9.png
10,"Camba y Colla. Migración y desarrollo en Santa Cruz, Bolivia",1987,Editorial Juventud,libro,Bolivia,La Paz,,,Maclean A.,Santa Cruz,migración,https://drive.google.com/file/d/1BpUGcSwCOCLY_lCG4WFKXI3MKH0tGKCt/view,,https://labtecnosocial.org/explora-bib/urbana/10.png,10.png
